ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
11-107_wormearthworm-1,37853,11,107_wormearthworm,baca ni qele,baca ni qele,b a c/ts a + n i + q e l e,,120166,16,false,^b a c a + n i + q e l e$,default
11-108_louse-1,38210,11,108_louse,kutu,kutu,k u t u,,120166,1,false,^k u t u$,default
11-109_mosquito-1,38567,11,109_mosquito,namu,namu,n a m u,,120166,1,false,^n a m u$,default
11-110_spider-1,38924,11,110_spider,tina ni viritālawalawa,tina ni viritālawalawa,t i n a + n i + v i r i t ā/a l a w a l a w a,,120166,1,false,^t i n a + n i + v i r i t ā l a w a l a w a$,default
11-111_fish-1,39281,11,111_fish,ika,ika,i k a,,120166,1,false,^i k a$,default
11-112_rotten-1,77628,11,112_rotten,vuca,vuca,v u c/ts a,,120166,9,false,^v u c a$,default
11-112_rotten-2,77629,11,112_rotten,midra,midra,m i d r a,,120166,,false,^m i d r a$,default
11-113_branch-1,39995,11,113_branch,taba-na,taba-na,t a b a + n a,,120166,13,false,^t a b a - n a$,default
11-114_leaf-1,40352,11,114_leaf,drau ni kau,drau ni kau,d r a u + n i + k a u,,120166,1,false,^d r a u + n i + k a u$,default
11-115_root-1,77825,11,115_root,vū-na,vū-na,v ū + n a,,120166,,false,^v ū - n a$,default
11-115_root-2,77826,11,115_root,waka-na,waka-na,w a k a + n a,,120166,2,false,^w a k a - n a$,default
11-116_flower-1,41066,11,116_flower,sē ni kau,sē ni kau,s ē/e + n i + k a u,,120166,"9,14",false,^s ē + n i + k a u$,default
11-117_fruit-1,41423,11,117_fruit,vua-na,vua-na,v u a + n a,,120166,1,false,^v u a - n a$,default
11-118_grass-1,41780,11,118_grass,cō,cō,c ō/o,,120166,102,false,^c ō$,default
11-119_earthsoil-1,42137,11,119_earthsoil,qele,qele,q e l e,,120166,10,false,^q e l e$,default
11-120_stone-1,42494,11,120_stone,vatu,vatu,v a t u,,120166,1,false,^v a t u$,default
11-121_sand-1,42851,11,121_sand,nuku,nuku,n u k u,,120166,41,false,^n u k u$,default
11-122_water-1,43208,11,122_water,wai,wai,w a i,,120166,2,false,^w a i$,default
11-123_toflow-1,43565,11,123_toflow,drōdrō-va,drōdrō-va,d r ō/o d r ō/o + v a,,120166,32,false,^d r ō d r ō - v a$,default
11-124_sea-1,43922,11,124_sea,wasawasa,wasawasa,w a s a w a s a,,120166,12,false,^w a s a w a s a$,default
11-125_salt-1,44279,11,125_salt,māsima,māsima,m ā/a s i m a,,120166,3,false,^m ās i m a$,default
11-126_lake-1,44636,11,126_lake,drano,drano,d r a n o,,120166,1,false,^d r a n o$,default
11-127_woodsforest-1,44993,11,127_woodsforest,veikau,veikau,v e i k a u,,120166,13,false,^v e i k a u$,default
11-128_sky-1,45350,11,128_sky,lomālagi,lomālagi,l o m ā/a l a g i,,120166,"1,84",false,^l o m ā l a g i$,default
11-129_moon-1,45707,11,129_moon,vula,vula,v u l a,,120166,1,false,^v u l a$,default
11-130_star-1,46064,11,130_star,kalokalo,kalokalo,k a l o k a l o,,120166,28,false,^k a l o k a l o$,default
11-131_cloud-1,46421,11,131_cloud,ō,ō,ō/o,,120166,12,false,^ō$,default
11-132_fog-1,46778,11,132_fog,kabukabu,kabukabu,k a b u k a b u,,120166,"1, 54",false,^k a b u k a b u$,default
11-133_rain-1,47135,11,133_rain,uca,uca,u c/ts a,,120166,1,false,^u c a$,default
11-134_thunder-1,47492,11,134_thunder,kurukuru,kurukuru,k u r u k u r u,,120166,"2, 63",false,^k u r u k u r u$,default
11-135_lightning-1,47849,11,135_lightning,livaliva,livaliva,l i v a l i v a,,120166,35,false,^l i v a l i v a$,default
11-136_wind-1,48206,11,136_wind,cagi,cagi,c a g i,,120166,1,false,^c a g i$,default
11-137_toblow-1,78964,11,137_toblow,uvu-ca,uvu-ca,u v u + c/ts a,,120166,"4,57",false,^u v u - c a$,default
11-137_toblow-2,78965,11,137_toblow,liwa,liwa,l i w a,,120166,36,false,^l i w a$,default
11-138_warm-1,48920,11,138_warm,katakata,katakata,k a t a k a t a,,120166,36,false,^k a t a k a t a$,default
11-139_cold-1,49277,11,139_cold,batabatā,batabatā,b a t a b a t ā/a,,120166,42,false,^b a t a b a t ā$,default
11-140_dry-1,49634,11,140_dry,maca,maca,m a c/ts a,,120166,11,false,^m a c a$,default
11-141_wet-1,49991,11,141_wet,suasua,suasua,s u a s u a,,120166,11,false,^s u a s u a$,default
11-142_heavy-1,50348,11,142_heavy,bībī,bībī,b ī/i b ī/i,,120166,37,false,^b ī b ī$,default
11-143_fire-1,50705,11,143_fire,bukawaqa,bukawaqa,b u k a w a q a,,120166,17,false,^b u k a w a q a$,default
11-144_toburn-1,51062,11,144_toburn,vaka-caudre-va,vaka-caudre-va,v a k a + c/ts a u d r e + v a,,120166,,false,^v a k a - c a u d r e - v a$,default
11-145_smoke-1,51419,11,145_smoke,kubou,kubou,k u b o u,,120166,57,false,^k u b o u$,default
11-146_ashes-1,51776,11,146_ashes,dravu,dravu,d r a v u,,120166,67,false,^d r a v u$,default
11-147_black-1,52133,11,147_black,loaloa,loaloa,l o a l o a,,120166,40,false,^l o a l o a$,default
11-148_white-1,52490,11,148_white,vulavula,vulavula,v u l a v u l a,,120166,3,false,^v u l a v u l a$,default
